EmployeeNumber,EmployeeName,Department,JobRole,Attrition_Prob,Risk,occupation_title,gap_count,skill_gap,recommendation
911,Elena Robinson (911),Research & Development,Laboratory Technician,0.948,HIGH,Chemical Technicians,3,"Microsoft Excel, Microsoft Office software, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
912,Layla Muller,Research & Development,Laboratory Technician,0.159,LOW,Chemical Technicians,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
913,Lee Hassan,Research & Development,Research Scientist,0.81,HIGH,Natural Sciences Managers,4,"Active Listening, Microsoft Excel, Monitoring, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
916,John Lopez,Sales,Sales Executive,0.539,MEDIUM,Sales Managers,4,"Critical Thinking, Microsoft Office software, Microsoft Outlook, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
918,Elizabeth Rahman,Research & Development,Laboratory Technician,0.871,HIGH,Chemical Technicians,4,"Critical Thinking, Monitoring, Reading Comprehension, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
920,Elena Choi,Research & Development,Manufacturing Director,0.263,LOW,Industrial Production Managers,3,"Active Listening, Learning Strategies, Speaking",Priority: Active Listening -> Active Listening for Managers
922,Ananya Patel,Sales,Sales Representative,0.628,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Active Listening, Microsoft Excel, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
923,Wei Chen (923),Research & Development,Research Scientist,0.187,LOW,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
924,Mark Wang (924),Research & Development,Healthcare Representative,0.086,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Writing,Priority: Writing -> Business Writing Essentials
925,Jessica Liu,Sales,Sales Representative,0.695,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
926,John Carter (926),Research & Development,Manufacturing Director,0.267,LOW,Industrial Production Managers,3,"Active Listening, Microsoft Excel, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
927,Klara Hill (927),Research & Development,Laboratory Technician,0.762,HIGH,Chemical Technicians,2,"Monitoring, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
930,Zhang Campbell,Research & Development,Research Scientist,0.054,LOW,Natural Sciences Managers,3,"Critical Thinking, Microsoft Office software, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
932,Choi Thompson,Research & Development,Laboratory Technician,0.828,HIGH,Chemical Technicians,1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
933,Steven Hussain,Research & Development,Research Scientist,0.34,MEDIUM,Natural Sciences Managers,4,"Microsoft Excel, Monitoring, Reading Comprehension, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
934,Liu Khan (934),Research & Development,Laboratory Technician,0.655,HIGH,Chemical Technicians,3,"Microsoft Office software, Microsoft Outlook, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
936,Liu Ali (936),Sales,Sales Executive,0.441,MEDIUM,Sales Managers,4,"Active Learning, Active Listening, Microsoft Outlook, Monitoring",Priority: Active Listening -> Active Listening for Managers
939,Vikram Novak,Research & Development,Research Scientist,0.622,HIGH,Natural Sciences Managers,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
940,Vikram Liu,Research & Development,Healthcare Representative,0.068,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Active Listening, Reading Comprehension, Speaking",Priority: Active Listening -> Active Listening for Managers
941,Donna Walker,Sales,Sales Representative,0.746,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Microsoft Excel, Reading Comprehension, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
942,Ananya Hill,Research & Development,Healthcare Representative,0.066,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Reading Comprehension, Salesforce software, Speaking, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
944,Jessica Patel,Research & Development,Laboratory Technician,0.179,LOW,Chemical Technicians,3,"Critical Thinking, Microsoft Office software, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
945,Park Zhao,Research & Development,Research Scientist,0.097,LOW,Natural Sciences Managers,3,"Active Listening, Microsoft PowerPoint, Monitoring",Priority: Active Listening -> Active Listening for Managers
947,Ashley Iyer,Sales,Sales Executive,0.063,LOW,Sales Managers,3,"Active Listening, Microsoft Outlook, Microsoft PowerPoint",Priority: Active Listening -> Active Listening for Managers
949,George Miller,Research & Development,Research Scientist,0.083,LOW,Natural Sciences Managers,3,"Active Listening, Monitoring, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
950,Elizabeth Kowalski,Research & Development,Research Director,0.008,LOW,Natural Sciences Managers,3,"Microsoft Excel, Microsoft Office software, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
951,Ravi Chowdhury,Research & Development,Laboratory Technician,0.18,LOW,Chemical Technicians,2,"Active Listening, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
952,Omar Nguyen,Sales,Sales Representative,0.969,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Microsoft Excel, Microsoft Office software, Speaking, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
954,Yusuf Rao,Sales,Sales Executive,0.745,HIGH,Sales Managers,3,"Active Learning, Critical Thinking, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
956,Ananya Clark,Sales,Sales Executive,0.553,MEDIUM,Sales Managers,3,"Active Learning, Critical Thinking, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
957,Mateo Reddy,Research & Development,Laboratory Technician,0.403,MEDIUM,Chemical Technicians,3,"Microsoft Outlook, Monitoring, Science",Priority: Monitoring -> Performance Monitoring & KPIs
958,Aisha Kumar,Research & Development,Laboratory Technician,0.116,LOW,Chemical Technicians,2,"Active Listening, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
959,Sarah Malik,Sales,Sales Representative,0.983,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Active Listening, Speaking",Priority: Active Listening -> Active Listening for Managers
960,Layla Khan,Research & Development,Laboratory Technician,0.971,HIGH,Chemical Technicians,4,"Microsoft Office software, Monitoring, Reading Comprehension, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
961,Elena Baker (961),Research & Development,Healthcare Representative,0.313,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Microsoft Excel, Reading Comprehension, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
964,Michelle Moreau,Research & Development,Research Scientist,0.76,HIGH,Natural Sciences Managers,3,"Microsoft Excel, Reading Comprehension, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
966,Hassan Anderson,Research & Development,Manufacturing Director,0.176,LOW,Industrial Production Managers,4,"Learning Strategies, Microsoft Excel, Microsoft Office software, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
967,Deborah Khan (967),Sales,Sales Executive,0.466,MEDIUM,Sales Managers,3,"Critical Thinking, Microsoft Outlook, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
969,Nancy Harris,Research & Development,Healthcare Representative,0.097,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Microsoft Excel, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
970,Mateo Ibrahim,Sales,Sales Executive,0.934,HIGH,Sales Managers,1,Active Learning,Priority: Active Learning -> Learning How to Learn
972,Elizabeth Anderson,Research & Development,Laboratory Technician,0.071,LOW,Chemical Technicians,2,"Microsoft Office software, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
974,Carol Carter,Sales,Sales Representative,0.55,MEDIUM,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Active Listening, Writing",Priority: Active Listening -> Active Listening for Managers
975,Matthew Torres,Sales,Sales Executive,0.336,MEDIUM,Sales Managers,4,"Active Learning, Critical Thinking, Microsoft Office software, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
976,Richard Singh (976),Research & Development,Manager,0.012,LOW,General and Operations Managers,2,"Active Listening, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
977,Thomas Rao,Research & Development,Research Scientist,0.24,LOW,Natural Sciences Managers,2,"Reading Comprehension, Science",Priority: Reading Comprehension -> Business Writing & Comprehension
981,Susan Kim,Sales,Manager,0.141,LOW,General and Operations Managers,3,"Active Listening, Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
982,John Ramirez,Sales,Sales Executive,0.418,MEDIUM,Sales Managers,3,"Critical Thinking, Microsoft Office software, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
983,Richard Liu,Sales,Sales Executive,0.61,HIGH,Sales Managers,3,"Active Learning, Microsoft PowerPoint, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
984,Donna Iyer,Sales,Sales Executive,0.065,LOW,Sales Managers,4,"Active Listening, Critical Thinking, Microsoft Office software, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
985,Anna Miller,Sales,Sales Executive,0.1,LOW,Sales Managers,4,"Microsoft Excel, Microsoft PowerPoint, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
986,Diego Walker,Sales,Sales Executive,0.607,HIGH,Sales Managers,5,"Microsoft Excel, Microsoft Office software, Monitoring, Reading Comprehension, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
987,Klara Hill (987),Research & Development,Manufacturing Director,0.043,LOW,Industrial Production Managers,2,"Active Listening, Microsoft Office software",Priority: Active Listening -> Active Listening for Managers
990,Hassan Jones,Sales,Sales Executive,0.024,LOW,Sales Managers,5,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft Office software, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
991,Andrew Garcia,Research & Development,Research Scientist,0.702,HIGH,Natural Sciences Managers,2,"Microsoft PowerPoint, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
992,Sergei Mitchell,Sales,Manager,0.28,LOW,General and Operations Managers,2,"Critical Thinking, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
994,Choi Robinson,Research & Development,Research Scientist,0.838,HIGH,Natural Sciences Managers,3,"Active Listening, Critical Thinking, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
995,Mary Campbell,Research & Development,Research Scientist,0.175,LOW,Natural Sciences Managers,4,"Microsoft Excel, Reading Comprehension, Science, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
996,Patricia Schmidt,Research & Development,Laboratory Technician,0.023,LOW,Chemical Technicians,4,"Active Listening, Microsoft Excel, Monitoring, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
997,Robert Chen,Research & Development,Research Director,0.004,LOW,Natural Sciences Managers,3,"Active Listening, Microsoft Office software, Writing",Priority: Active Listening -> Active Listening for Managers
998,Tran Farooq,Research & Development,Healthcare Representative,0.288,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Microsoft Excel, Microsoft Office software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
999,Park Hall,Research & Development,Research Director,0.012,LOW,Natural Sciences Managers,2,"Active Listening, Microsoft PowerPoint",Priority: Active Listening -> Active Listening for Managers
1001,Sergei Petrov,Research & Development,Laboratory Technician,0.826,HIGH,Chemical Technicians,2,"Microsoft Office software, Monitoring",Priority: Microsoft Office software -> Microsoft Office Essentials
1002,Paul Martinez,Research & Development,Laboratory Technician,0.382,MEDIUM,Chemical Technicians,3,"Microsoft Office software, Reading Comprehension, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
1003,George Martinez,Sales,Sales Executive,0.226,LOW,Sales Managers,4,"Active Learning, Microsoft Outlook, Reading Comprehension, Speaking",Priority: Reading Comprehension -> Business Writing & Comprehension
1004,Jennifer Liu,Research & Development,Research Scientist,0.904,HIGH,Natural Sciences Managers,4,"Active Listening, Critical Thinking, Microsoft PowerPoint, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
1005,Marta King,Research & Development,Manufacturing Director,0.122,LOW,Industrial Production Managers,5,"Critical Thinking, Microsoft Office software, Microsoft Outlook, Reading Comprehension, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
1006,Susan Patel,Research & Development,Research Scientist,0.095,LOW,Natural Sciences Managers,3,"Microsoft Excel, Reading Comprehension, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1007,Layla Torres,Research & Development,Manufacturing Director,0.046,LOW,Industrial Production Managers,5,"Critical Thinking, Microsoft Excel, Microsoft PowerPoint, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1009,Anthony Allen (1009),Research & Development,Manufacturing Director,0.072,LOW,Industrial Production Managers,5,"Active Listening, Critical Thinking, Learning Strategies, Microsoft Outlook, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
1010,Nancy Gonzalez,Research & Development,Laboratory Technician,0.678,HIGH,Chemical Technicians,4,"Active Listening, Microsoft Excel, Microsoft Outlook, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1011,Arjun Chowdhury,Research & Development,Manufacturing Director,0.173,LOW,Industrial Production Managers,4,"Active Listening, Microsoft Office software, Microsoft Outlook, Monitoring",Priority: Active Listening -> Active Listening for Managers
1012,Lee Huang (1012),Research & Development,Research Scientist,0.153,LOW,Natural Sciences Managers,3,"Active Listening, Microsoft Excel, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1013,Chen Wilson,Research & Development,Manufacturing Director,0.082,LOW,Industrial Production Managers,2,"Microsoft PowerPoint, Monitoring",Priority: Monitoring -> Performance Monitoring & KPIs
1014,Ravi Miller,Research & Development,Healthcare Representative,0.593,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Active Learning, Speaking, Writing",Priority: Writing -> Business Writing Essentials
1015,Hassan Novak (1015),Research & Development,Research Director,0.058,LOW,Natural Sciences Managers,3,"Microsoft Excel, Microsoft PowerPoint, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1016,Neha Novak,Research & Development,Research Scientist,0.919,HIGH,Natural Sciences Managers,4,"Critical Thinking, Microsoft Excel, Reading Comprehension, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1017,Steven Torres,Research & Development,Laboratory Technician,0.765,HIGH,Chemical Technicians,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
1018,Wei Kumar (1018),Research & Development,Manufacturing Director,0.041,LOW,Industrial Production Managers,3,"Active Listening, Critical Thinking, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1019,Priya Patel,Research & Development,Laboratory Technician,0.915,HIGH,Chemical Technicians,4,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1022,Tran Muller,Research & Development,Healthcare Representative,0.094,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",5,"Active Learning, Active Listening, Microsoft Office software, Microsoft Outlook, Salesforce software",Priority: Active Listening -> Active Listening for Managers
1024,Ivan Jones,Research & Development,Healthcare Representative,0.082,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Active Learning, Critical Thinking, Microsoft Office software, Salesforce software",Priority: Critical Thinking -> Structured Problem Solving workshop
1025,Linda Reddy,Research & Development,Manufacturing Director,0.186,LOW,Industrial Production Managers,2,"Learning Strategies, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
1026,Marta Johnson,Research & Development,Manufacturing Director,0.068,LOW,Industrial Production Managers,4,"Active Listening, Microsoft Outlook, Microsoft PowerPoint, Monitoring",Priority: Active Listening -> Active Listening for Managers
1027,Amanda Hussain,Research & Development,Manufacturing Director,0.078,LOW,Industrial Production Managers,5,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft Outlook, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1028,Sandra Sanchez,Research & Development,Laboratory Technician,0.196,LOW,Chemical Technicians,2,"Monitoring, Science",Priority: Monitoring -> Performance Monitoring & KPIs
1029,Mei Taylor,Sales,Manager,0.201,LOW,General and Operations Managers,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
1030,Kevin Dubois,Research & Development,Laboratory Technician,0.376,MEDIUM,Chemical Technicians,4,"Active Listening, Microsoft Outlook, Reading Comprehension, Writing",Priority: Active Listening -> Active Listening for Managers
1032,Elena Anderson (1032),Research & Development,Manufacturing Director,0.3,MEDIUM,Industrial Production Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
1033,Tran Dubois,Research & Development,Healthcare Representative,0.658,HIGH,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Microsoft Excel, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1034,Christopher Jones,Research & Development,Healthcare Representative,0.305,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
1035,Donald Garcia,Research & Development,Research Director,0.004,LOW,Natural Sciences Managers,3,"Active Listening, Monitoring, Science",Priority: Active Listening -> Active Listening for Managers
1036,Barbara Farooq,Sales,Sales Executive,0.86,HIGH,Sales Managers,4,"Active Learning, Microsoft Excel, Microsoft Office software, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1037,Omar Nelson,Sales,Sales Executive,0.79,HIGH,Sales Managers,4,"Active Learning, Critical Thinking, Microsoft Excel, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1038,Karen Huang (1038),Sales,Manager,0.045,LOW,General and Operations Managers,3,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1039,Melissa Roberts,Sales,Sales Executive,0.305,MEDIUM,Sales Managers,2,"Active Learning, Critical Thinking",Priority: Critical Thinking -> Structured Problem Solving workshop
1040,Melissa Thompson,Sales,Sales Executive,0.004,LOW,Sales Managers,2,"Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Office software -> Microsoft Office Essentials
1042,Jessica Carter (1042),Research & Development,Laboratory Technician,0.442,MEDIUM,Chemical Technicians,3,"Microsoft Office software, Microsoft Outlook, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
1043,Nguyen Wilson,Research & Development,Manufacturing Director,0.625,HIGH,Industrial Production Managers,4,"Active Listening, Learning Strategies, Microsoft Excel, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1044,Tran Iyer,Sales,Sales Representative,0.165,LOW,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Active Listening, Critical Thinking, Microsoft Office software, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1045,Charles Martinez,Sales,Manager,0.014,LOW,General and Operations Managers,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
1046,Ashley Torres,Research & Development,Laboratory Technician,0.627,HIGH,Chemical Technicians,4,"Critical Thinking, Microsoft Office software, Microsoft Outlook, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
1047,Ali Torres,Sales,Sales Executive,0.053,LOW,Sales Managers,3,"Microsoft Outlook, Reading Comprehension, Speaking",Priority: Reading Comprehension -> Business Writing & Comprehension
1048,Susan Liu,Sales,Manager,0.332,MEDIUM,General and Operations Managers,2,"Critical Thinking, Microsoft Office software",Priority: Critical Thinking -> Structured Problem Solving workshop
1049,Steven Martinez,Human Resources,Human Resources,0.509,MEDIUM,Human Resources Specialists,4,"Active Learning, Microsoft Outlook, Reading Comprehension, Speaking",Priority: Reading Comprehension -> Business Writing & Comprehension
1050,Wang Nelson,Sales,Sales Executive,0.255,LOW,Sales Managers,3,"Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
1052,Linda Ahmed,Research & Development,Laboratory Technician,0.761,HIGH,Chemical Technicians,3,"Active Listening, Monitoring, Science",Priority: Active Listening -> Active Listening for Managers
1053,Donald Mitchell,Research & Development,Research Scientist,0.942,HIGH,Natural Sciences Managers,1,Microsoft PowerPoint,Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
1055,Aisha Lopez (1055),Sales,Sales Representative,0.758,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Reading Comprehension, Salesforce software",Priority: Reading Comprehension -> Business Writing & Comprehension
1056,Matthew Rodriguez,Sales,Sales Representative,0.665,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,Writing,Priority: Writing -> Business Writing Essentials
1060,Hiro Harris,Research & Development,Research Scientist,0.049,LOW,Natural Sciences Managers,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
1061,Amit Iyer,Research & Development,Research Director,0.09,LOW,Natural Sciences Managers,2,"Critical Thinking, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
1062,Kevin Farooq,Research & Development,Healthcare Representative,0.132,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Active Listening, Critical Thinking",Priority: Critical Thinking -> Structured Problem Solving workshop
1066,Ali Zhao,Sales,Sales Executive,0.718,HIGH,Sales Managers,3,"Critical Thinking, Microsoft Excel, Microsoft Office software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1068,Arjun Ferrari,Research & Development,Research Scientist,0.138,LOW,Natural Sciences Managers,2,"Microsoft Office software, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
1069,Anthony Hassan (1069),Research & Development,Research Director,0.007,LOW,Natural Sciences Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1070,Liu Brown,Sales,Sales Executive,0.53,MEDIUM,Sales Managers,4,"Active Listening, Critical Thinking, Microsoft Office software, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1071,Ali Park,Research & Development,Research Scientist,0.023,LOW,Natural Sciences Managers,4,"Critical Thinking, Microsoft Excel, Microsoft Office software, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1073,Joseph Nelson,Research & Development,Manufacturing Director,0.232,LOW,Industrial Production Managers,4,"Microsoft Outlook, Monitoring, Reading Comprehension, Speaking",Priority: Reading Comprehension -> Business Writing & Comprehension
1074,Barbara Allen,Research & Development,Manager,0.162,LOW,General and Operations Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1076,Sergei Hussain,Sales,Sales Executive,0.268,LOW,Sales Managers,4,"Critical Thinking, Microsoft PowerPoint, Monitoring, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
1077,Daniel Allen,Sales,Sales Representative,0.889,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,Active Learning,Priority: Active Learning -> Learning How to Learn
1079,John Kumar,Research & Development,Laboratory Technician,0.923,HIGH,Chemical Technicians,1,Writing,Priority: Writing -> Business Writing Essentials
1080,Klara Hall,Research & Development,Research Scientist,0.205,LOW,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
1081,Thomas Williams,Research & Development,Research Scientist,0.341,MEDIUM,Natural Sciences Managers,3,"Reading Comprehension, Science, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
1082,Nguyen Martinez,Research & Development,Healthcare Representative,0.506,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Active Learning, Salesforce software",Priority: Active Learning -> Learning How to Learn
1083,Olga Torres,Research & Development,Laboratory Technician,0.743,HIGH,Chemical Technicians,3,"Critical Thinking, Monitoring, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1084,Elizabeth Reddy,Research & Development,Manufacturing Director,0.163,LOW,Industrial Production Managers,2,"Critical Thinking, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1085,Charles Thompson,Research & Development,Research Scientist,0.046,LOW,Natural Sciences Managers,1,Active Listening,Priority: Active Listening -> Active Listening for Managers
1088,Mark Dubois,Research & Development,Healthcare Representative,0.034,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Critical Thinking, Microsoft Outlook, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
1092,Emily Hassan,Research & Development,Healthcare Representative,0.394,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",5,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft Outlook, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1094,Anthony Novak,Research & Development,Laboratory Technician,0.119,LOW,Chemical Technicians,2,"Microsoft Outlook, Monitoring",Priority: Monitoring -> Performance Monitoring & KPIs
1096,Noor Scott,Research & Development,Manufacturing Director,0.023,LOW,Industrial Production Managers,1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
1097,Ashley Wilson,Research & Development,Research Scientist,0.035,LOW,Natural Sciences Managers,3,"Microsoft Office software, Microsoft PowerPoint, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
1098,Jonas Iyer (1098),Human Resources,Human Resources,0.509,MEDIUM,Human Resources Specialists,3,"Active Learning, Critical Thinking, Microsoft Office software",Priority: Critical Thinking -> Structured Problem Solving workshop
1099,Marta Choi,Research & Development,Healthcare Representative,0.052,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",5,"Active Listening, Microsoft Office software, Microsoft Outlook, Reading Comprehension, Speaking",Priority: Active Listening -> Active Listening for Managers
1100,Betty Sanchez,Sales,Sales Executive,0.83,HIGH,Sales Managers,4,"Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1101,Pooja Shah,Research & Development,Research Scientist,0.571,MEDIUM,Natural Sciences Managers,1,Active Listening,Priority: Active Listening -> Active Listening for Managers
1102,Mei Carter (1102),Research & Development,Laboratory Technician,0.441,MEDIUM,Chemical Technicians,3,"Active Listening, Microsoft Excel, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1103,Zara Mitchell,Research & Development,Healthcare Representative,0.253,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Critical Thinking, Microsoft Excel, Reading Comprehension, Salesforce software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1105,Steven Rao,Sales,Sales Executive,0.213,LOW,Sales Managers,2,"Microsoft Excel, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1106,Stephanie Liu (1106),Research & Development,Laboratory Technician,0.48,MEDIUM,Chemical Technicians,2,"Science, Writing",Priority: Writing -> Business Writing Essentials
1107,Michelle Ivanova,Research & Development,Laboratory Technician,0.838,HIGH,Chemical Technicians,2,"Monitoring, Science",Priority: Monitoring -> Performance Monitoring & KPIs
